"","Participant.Private.ID","Screen.Name","Attempt","Correct","Incorrect","Dishonest","Eye.Condition","contrast"
"288",4336342,"Level99",1,0,1,0,"Mono",2
"289",4336342,"Level97",1,1,0,0,"Mono",4
"290",4336342,"Level98",1,1,0,0,"Mono",3
"291",4336342,"Level99",1,1,0,0,"Mono",2
"292",4336342,"Level100",1,0,1,0,"Mono",1
"293",4336342,"Level98",1,1,0,0,"Mono",3
"294",4336342,"Level99",1,1,0,0,"Mono",2
"295",4336342,"Level100",1,1,0,0,"Mono",1
"296",4336342,"Level100",1,1,0,0,"Mono",1
"297",4336342,"Level100",1,1,0,0,"Mono",1
"298",4336342,"Level100",1,0,1,0,"Mono",1
"299",4336342,"Level98",1,1,0,0,"Mono",3
"300",4336342,"Level99",1,1,0,0,"Mono",2
"301",4336342,"Level100",1,0,1,0,"Mono",1
"302",4336342,"Level98",1,1,0,0,"Mono",3
"303",4336342,"Level99",1,1,0,0,"Mono",2
"304",4336342,"Level100",1,1,0,0,"Mono",1
"305",4336342,"Level100",1,1,0,0,"Mono",1
"306",4336342,"Level100",1,0,1,0,"Mono",1
"307",4336342,"Level98",1,1,0,0,"Mono",3
"308",4336342,"Level99",1,1,0,0,"Mono",2
"309",4404605,"Level76",1,1,0,0,"Mono",25
"310",4404605,"Level77",1,1,0,0,"Mono",24
"311",4404605,"Level78",1,0,1,0,"Mono",23
"312",4404605,"Level76",1,0,1,0,"Mono",25
"313",4404605,"Level74",1,1,0,0,"Mono",27
"314",4404605,"Level75",1,1,0,0,"Mono",26
"315",4404605,"Level76",1,1,0,0,"Mono",25
"316",4404605,"Level77",1,0,1,0,"Mono",24
"317",4404605,"Level75",1,0,1,0,"Mono",26
"318",4404605,"Level73",1,0,1,0,"Mono",28
"319",4404605,"Level71",1,1,0,0,"Mono",30
"320",4404605,"Level72",1,1,0,0,"Mono",29
"321",4404605,"Level73",1,1,0,0,"Mono",28
"322",4404605,"Level74",1,1,0,0,"Mono",27
"323",4404605,"Level75",1,1,0,0,"Mono",26
