"","Participant.Private.ID","Eye.Condition","structure","meanRt","hand","size","xR","yR","xL","yL"
"227",4336342,"Mono","pos1Size2",947.875000000001,"right",10,40,40,60,40
"228",4336342,"Mono","pos1Size3",1124.125,"right",5,40,40,60,40
"229",4336342,"Mono","pos2Size1",765.250000000004,"right",20,20,25,80,25
"230",4336342,"Mono","pos2Size2",765.125,"right",10,20,25,80,25
"231",4336342,"Mono","pos2Size3",1134.625,"right",5,20,25,80,25
"232",4336342,"Mono","pos3Size1",1027.87499999999,"right",20,41,71,59,71
"233",4336342,"Mono","pos3Size2",1026.75000000001,"right",10,41,71,59,71
"234",4336342,"Mono","pos3Size3",1128.5,"right",5,41,71,59,71
"235",4336342,"Mono","pos4Size1",1088.125,"right",20,74,74,26,74
"236",4336342,"Mono","pos4Size2",1177.12500000001,"right",10,74,74,26,74
"237",4336342,"Mono","pos4Size3",1382.00000000001,"right",5,74,74,26,74
"238",4336342,"Mono","pos5Size1",815.37500000001,"right",20,8,46,92,46
"239",4336342,"Mono","pos5Size2",891.25,"right",10,8,46,92,46
"240",4336342,"Mono","pos5Size3",1011.25,"right",5,8,46,92,46
"241",4339358,"Binoc","pos1Size1",859.12499999255,"right",20,40,40,60,40
"242",4339358,"Binoc","pos1Size2",855.61250000447,"right",10,40,40,60,40
"243",4339358,"Binoc","pos1Size3",1007.3125000149,"right",5,40,40,60,40
"244",4339358,"Binoc","pos2Size1",687.47499999404,"right",20,20,25,80,25
"245",4339358,"Binoc","pos2Size2",778.025000013411,"right",10,20,25,80,25
"246",4339358,"Binoc","pos2Size3",902.41250000149,"right",5,20,25,80,25
"247",4339358,"Binoc","pos3Size1",787.5625,"right",20,41,71,59,71
"248",4339358,"Binoc","pos3Size2",999.58750000596,"right",10,41,71,59,71
"249",4339358,"Binoc","pos3Size3",1019.76250001043,"right",5,41,71,59,71
"250",4339358,"Binoc","pos4Size1",888.425000011921,"right",20,74,74,26,74
"251",4339358,"Binoc","pos4Size2",988.80000001192,"right",10,74,74,26,74
