"","Participant.Private.ID","Eye.Condition","Task.Name","Spreadsheet","Trial.Number","structure","xR","yR","xL","yL","size","Reaction.Time"
"138",4381159,"Mono","Fitts's Law","right","2","pos3Size1",41,71,59,71,20,920.039999997243
"139",4381159,"Mono","Fitts's Law","right","2","pos1Size3",40,40,60,40,5,1000.68499997724
"140",4381159,"Mono","Fitts's Law","right","2","pos2Size1",20,25,80,25,20,872.205000021495
"141",4381159,"Mono","Fitts's Law","right","2","pos2Size2",20,25,80,25,10,803.284999914467
"142",4381159,"Mono","Fitts's Law","right","2","pos4Size3",74,74,26,74,5,1583.67000008002
"143",4381159,"Mono","Fitts's Law","right","2","pos1Size1",40,40,60,40,20,1320.27999998536
"144",4381159,"Mono","Fitts's Law","right","2","pos5Size1",8,46,92,46,20,873.844999936409
"145",4381159,"Mono","Fitts's Law","right","2","pos2Size3",20,25,80,25,5,1070.98499999847
"146",4381159,"Mono","Fitts's Law","right","2","pos5Size3",8,46,92,46,5,1064.33500000276
"147",4381159,"Mono","Fitts's Law","right","2","pos5Size2",8,46,92,46,10,804.430000018328
"148",4381159,"Mono","Fitts's Law","right","2","pos1Size2",40,40,60,40,10,1093.69000000879
"149",4381159,"Mono","Fitts's Law","right","2","pos3Size3",41,71,59,71,5,1160.05000006407
"150",4381159,"Mono","Fitts's Law","right","2","pos3Size2",41,71,59,71,10,992.940000025555
"151",4381159,"Mono","Fitts's Law","right","3","pos2Size2",20,25,80,25,10,807.61999997776
"152",4381159,"Mono","Fitts's Law","right","3","pos2Size3",20,25,80,25,5,1566.17999996524
"153",4381159,"Mono","Fitts's Law","right","3","pos3Size3",41,71,59,71,5,1353.90500002541
"154",4381159,"Mono","Fitts's Law","right","3","pos5Size1",8,46,92,46,20,779.719999991357
"155",4381159,"Mono","Fitts's Law","right","3","pos2Size1",20,25,80,25,20,647.234999923967
"156",4381159,"Mono","Fitts's Law","right","3","pos5Size2",8,46,92,46,10,888.404999976046
"157",4381159,"Mono","Fitts's Law","right","3","pos4Size3",74,74,26,74,5,3008.37000005413
"158",4381159,"Mono","Fitts's Law","right","3","pos3Size1",41,71,59,71,20,918.365000048652
"159",4381159,"Mono","Fitts's Law","right","3","pos1Size1",40,40,60,40,20,831.525000045076
"160",4381159,"Mono","Fitts's Law","right","3","pos4Size1",74,74,26,74,20,1022.53499999642
"161",4381159,"Mono","Fitts's Law","right","3","pos3Size2",41,71,59,71,10,1047.62999992818
"162",4381159,"Mono","Fitts's Law","right","3","pos1Size3",40,40,60,40,5,1239.41999999806
"163",4381159,"Mono","Fitts's Law","right","3","pos1Size2",40,40,60,40,10,957.964999950491
"164",4381159,"Mono","Fitts's Law","right","3","pos4Size2",74,74,26,74,10,1181.64999992587
"165",4381159,"Mono","Fitts's Law","right","3","pos5Size3",8,46,92,46,5,1197.09999999031
"166",4381159,"Mono","Fitts's Law","right","4","pos5Size3",8,46,92,46,5,1280.72499996051
"167",4381159,"Mono","Fitts's Law","right","4","pos1Size2",40,40,60,40,10,983.319999999367
"168",4381159,"Mono","Fitts's Law","right","4","pos4Size1",74,74,26,74,20,920.979999937117
"169",4381159,"Mono","Fitts's Law","right","4","pos4Size2",74,74,26,74,10,1385.07999991998
"170",4381159,"Mono","Fitts's Law","right","4","pos5Size1",8,46,92,46,20,870.720000006258
"171",4381159,"Mono","Fitts's Law","right","4","pos4Size3",74,74,26,74,5,3263.90499994159
"172",4381159,"Mono","Fitts's Law","right","4","pos5Size2",8,46,92,46,10,969.930000021122
"173",4381159,"Mono","Fitts's Law","right","4","pos2Size3",20,25,80,25,5,1252.54499993753
"174",4381159,"Mono","Fitts's Law","right","4","pos1Size1",40,40,60,40,20,964.814999955706
"175",4381159,"Mono","Fitts's Law","right","4","pos3Size3",41,71,59,71,5,1559.89000003319
"176",4381159,"Mono","Fitts's Law","right","4","pos2Size2",20,25,80,25,10,1061.29500002135
"177",4381159,"Mono","Fitts's Law","right","4","pos3Size1",41,71,59,71,20,922.160000074655
"178",4381159,"Mono","Fitts's Law","right","4","pos3Size2",41,71,59,71,10,1049.75000000559
"179",4381159,"Mono","Fitts's Law","right","4","pos1Size3",40,40,60,40,5,1831.59499999601
"180",4381159,"Mono","Fitts's Law","right","4","pos2Size1",20,25,80,25,20,711.219999939203
"181",4381159,"Mono","Fitts's Law","right","5","pos2Size3",20,25,80,25,5,965.520000085235
"182",4381159,"Mono","Fitts's Law","right","5","pos2Size1",20,25,80,25,20,632.540000020526
"183",4381159,"Mono","Fitts's Law","right","5","pos5Size1",8,46,92,46,20,743.32999996841
"184",4381159,"Mono","Fitts's Law","right","5","pos3Size1",41,71,59,71,20,934.604999958538
"185",4381159,"Mono","Fitts's Law","right","5","pos4Size2",74,74,26,74,10,1289.42000004463
"186",4381159,"Mono","Fitts's Law","right","5","pos5Size2",8,46,92,46,10,2006.09499996062
"187",4381159,"Mono","Fitts's Law","right","5","pos3Size2",41,71,59,71,10,871.290000039153
"188",4381159,"Mono","Fitts's Law","right","5","pos4Size1",74,74,26,74,20,1044.18500000611
"189",4381159,"Mono","Fitts's Law","right","5","pos5Size3",8,46,92,46,5,1009.85499995295
"190",4381159,"Mono","Fitts's Law","right","5","pos1Size3",40,40,60,40,5,1169.3250000244
"191",4381159,"Mono","Fitts's Law","right","5","pos1Size2",40,40,60,40,10,986.879999982193
"192",4381159,"Mono","Fitts's Law","right","5","pos3Size3",41,71,59,71,5,1273.07500003371
"193",4381159,"Mono","Fitts's Law","right","5","pos1Size1",40,40,60,40,20,1013.53999995627
"194",4381159,"Mono","Fitts's Law","right","5","pos2Size2",20,25,80,25,10,873.464999953285
"195",4381159,"Mono","Fitts's Law","right","5","pos4Size3",74,74,26,74,5,3643.49499996752
"196",4381159,"Mono","Fitts's Law","right","6","pos1Size3",40,40,60,40,5,1248.33500001114
"197",4381159,"Mono","Fitts's Law","right","6","pos1Size1",40,40,60,40,20,808.839999954216
"198",4381159,"Mono","Fitts's Law","right","6","pos3Size2",41,71,59,71,10,1015.72000002488
"199",4381159,"Mono","Fitts's Law","right","6","pos2Size1",20,25,80,25,20,709.585000062361
"200",4381159,"Mono","Fitts's Law","right","6","pos4Size2",74,74,26,74,10,1285.44999996666
"201",4381159,"Mono","Fitts's Law","right","6","pos3Size3",41,71,59,71,5,1264.96500009671
"202",4381159,"Mono","Fitts's Law","right","6","pos4Size1",74,74,26,74,20,941.995000001043
"203",4381159,"Mono","Fitts's Law","right","6","pos2Size2",20,25,80,25,10,729.230000055395
"204",4381159,"Mono","Fitts's Law","right","6","pos5Size2",8,46,92,46,10,1047.94999992009
"205",4381159,"Mono","Fitts's Law","right","6","pos1Size2",40,40,60,40,10,2684.54000004567
"206",4381159,"Mono","Fitts's Law","right","6","pos4Size3",74,74,26,74,5,1312.24500003736
"207",4381159,"Mono","Fitts's Law","right","6","pos2Size3",20,25,80,25,5,1433.25500003994
"208",4381159,"Mono","Fitts's Law","right","6","pos5Size1",8,46,92,46,20,804.170000017621
"209",4381159,"Mono","Fitts's Law","right","6","pos5Size3",8,46,92,46,5,1255.114999949
"210",4381159,"Mono","Fitts's Law","right","6","pos3Size1",41,71,59,71,20,1168.95500000101
"211",4381159,"Mono","Fitts's Law","right","7","pos4Size2",74,74,26,74,10,1340.45499993954
"212",4381159,"Mono","Fitts's Law","right","7","pos2Size2",20,25,80,25,10,845.044999965467
"213",4381159,"Mono","Fitts's Law","right","7","pos1Size2",40,40,60,40,10,903.999999980442
"214",4381159,"Mono","Fitts's Law","right","7","pos3Size2",41,71,59,71,10,1112.79000004288
"215",4381159,"Mono","Fitts's Law","right","7","pos3Size3",41,71,59,71,5,2608.38499991223
"216",4381159,"Mono","Fitts's Law","right","7","pos5Size2",8,46,92,46,10,885.980000020936
"217",4381159,"Mono","Fitts's Law","right","7","pos3Size1",41,71,59,71,20,873.889999929816
"218",4381159,"Mono","Fitts's Law","right","7","pos5Size1",8,46,92,46,20,727.859999984503
"219",4381159,"Mono","Fitts's Law","right","7","pos5Size3",8,46,92,46,5,2133.20499996189
"220",4381159,"Mono","Fitts's Law","right","7","pos2Size3",20,25,80,25,5,982.404999900609
"221",4381159,"Mono","Fitts's Law","right","7","pos4Size1",74,74,26,74,20,1065.09499996901
"222",4381159,"Mono","Fitts's Law","right","7","pos4Size3",74,74,26,74,5,1513.37499998044
"223",4381159,"Mono","Fitts's Law","right","7","pos1Size1",40,40,60,40,20,704.76500003133
"224",4381159,"Mono","Fitts's Law","right","7","pos1Size3",40,40,60,40,5,929.245000006631
"225",4381159,"Mono","Fitts's Law","right","7","pos2Size1",20,25,80,25,20,661.605000030249
"226",4381159,"Mono","Fitts's Law","right","8","pos1Size3",40,40,60,40,5,2325.42000000831
"227",4381159,"Mono","Fitts's Law","right","8","pos2Size2",20,25,80,25,10,969.815000076778
"228",4381159,"Mono","Fitts's Law","right","8","pos5Size2",8,46,92,46,10,1227.35499998089
"229",4381159,"Mono","Fitts's Law","right","8","pos5Size1",8,46,92,46,20,799.739999929443
"230",4381159,"Mono","Fitts's Law","right","8","pos4Size1",74,74,26,74,20,1274.19499994721
"231",4381159,"Mono","Fitts's Law","right","8","pos5Size3",8,46,92,46,5,1198.93499999307
"232",4381159,"Mono","Fitts's Law","right","8","pos1Size2",40,40,60,40,10,960.859999991953
"233",4381159,"Mono","Fitts's Law","right","8","pos2Size3",20,25,80,25,5,1056.83500005398
