Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,randomiser-qd1r,branch-4d91,branch-6e1m,branch-6mdr,branch-751i,branch-lwwt,branch-7gxz,branch-bbdp,branch-qi5c,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ANSWER,structure,displayR,xR,yR,xL,yL,size,displayL
141,1628456991916,08/08/2021 21:09:51,1628456988571,1,08/08/2021 22:09:48,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,65,5,2,target,Zone2,response_button_image,984.5999999046326,,,redSquare.png,1,0,1,0,,,,,5,pos3Size1R,,pos3Size1,,41,71,59,71,20,pos3Size1L
142,1628456991959,08/08/2021 21:09:51,1628456989589,1,08/08/2021 22:09:49,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,69,5,1,noTarget,Zone1,response_button_image,1009.3000001907349,,,orangeSquare.png,1,0,1,0,,,,,5,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
143,1628456992887,08/08/2021 21:09:52,1628456990555,1,08/08/2021 22:09:50,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,69,5,2,target,Zone2,response_button_image,963.8000001907349,,,redSquare.png,1,0,1,0,,,,,5,pos2Size2R,,pos2Size2,,20,25,80,25,10,pos2Size2L
144,1628456994033,08/08/2021 21:09:54,1628456991697,1,08/08/2021 22:09:51,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,71,5,1,noTarget,Zone1,response_button_image,1132.2000000476837,,,orangeSquare.png,1,0,1,0,,,,,5,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
145,1628456995240,08/08/2021 21:09:55,1628456992908,1,08/08/2021 22:09:52,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,71,5,2,target,Zone2,response_button_image,1205.7000000476837,,,redSquare.png,1,0,1,0,,,,,5,pos4Size2R,,pos4Size2,,74,74,26,74,10,pos4Size2L
146,1628456996705,08/08/2021 21:09:56,1628456994376,1,08/08/2021 22:09:54,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,70,5,1,noTarget,Zone1,response_button_image,1459.0999999046326,,,orangeSquare.png,1,0,1,0,,,,,5,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
147,1628456997851,08/08/2021 21:09:57,1628456995511,1,08/08/2021 22:09:55,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,70,5,2,target,Zone2,response_button_image,1128.7999999523163,,,redSquare.png,1,0,1,0,,,,,5,pos3Size2R,,pos3Size2,,41,71,59,71,10,pos3Size2L
148,1628456999491,08/08/2021 21:09:59,1628456997070,1,08/08/2021 22:09:57,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,76,5,1,noTarget,Zone1,response_button_image,1538.4000000953674,,,orangeSquare.png,1,0,1,0,,,,,5,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
149,1628457000912,08/08/2021 21:10:00,1628456998566,1,08/08/2021 22:09:58,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,76,5,2,target,Zone2,response_button_image,1489.7999999523163,,,redSquare.png,1,0,1,0,,,,,5,pos4Size3R,,pos4Size3,,74,74,26,74,5,pos4Size3L
150,1628457002152,08/08/2021 21:10:02,1628456999822,1,08/08/2021 22:09:59,53563,19,task-p5uw,,14960733,603eratv,4450899,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 92.0.4515.131,1280x720,1280x720,,Fitts's Law,8,bothFirst,178,Right,178,Right,,,,,right,right,77,5,1,noTarget,Zone1,response_button_image,1246.5999999046326,,,orangeSquare.png,1,0,1,0,,,,,5,pos5Size3R,,pos5Size3,,8,46,92,46,5,pos5Size3L
