"","X1","Participant.Private.ID","Eye.Condition","Trial.Number","Attempt","Reaction.Time","X.Coordinate","Y.Coordinate","VS_Puzzle","Correct"
"198",574,4392148,"Binoc",2,1,20496.5,610,246,"Image3.PNG",1
"199",586,4445309,"Binoc",2,1,12422.5,608,257,"Image3.PNG",1
"200",597,4447985,"Binoc",4,1,14839.1000001431,605,250,"Image3.PNG",1
"201",604,4449101,"Binoc",4,1,73253,605,256,"Image3.PNG",1
"202",609,4449369,"Binoc",2,1,7565.29999995232,606,248,"Image3.PNG",1
"203",620,4449420,"Binoc",4,1,18598.1000000238,605,251,"Image3.PNG",1
"204",626,4452506,"Binoc",3,1,8222,608,253,"Image3.PNG",1
"205",632,4450899,"Binoc",3,1,23348.2000000477,607,255,"Image3.PNG",1
"206",642,4429865,"Binoc",1,1,5580.57000022382,598,254,"Image3.PNG",1
"207",656,4408537,"Binoc",3,1,4882.40000009537,619,258,"Image3.PNG",1
"208",664,4354253,"Binoc",1,1,2814.5,609,251,"Image3.PNG",1
"209",675,4334877,"Binoc",2,1,9045.90000009537,599,251,"Image3.PNG",1
"210",688,4333569,"Binoc",3,1,2942.5,601,248,"Image3.PNG",1
"211",3,4333590,"Mono",3,1,5144.19999999995,480,92.6702127659574,"Image4.PNG",1
"212",12,4334401,"Mono",1,1,2279.2999997139,33,10,"Image4.PNG",0
"213",21,4339358,"Mono",2,1,2220.39999997616,479,89,"Image4.PNG",1
"214",30,4384320,"Mono",2,1,33444.2000000477,483,93,"Image4.PNG",1
"215",41,4443776,"Mono",2,1,4969,479,89,"Image4.PNG",1
"216",54,4448050,"Mono",4,1,10930,485,82,"Image4.PNG",1
"217",60,4449137,"Mono",3,1,5799.80000019073,489,90,"Image4.PNG",1
"218",70,4449717,"Mono",4,1,6678.30000001192,93,272,"Image4.PNG",0
"219",79,4452039,"Mono",2,1,21486.3,473,87,"Image4.PNG",1
"220",90,4454520,"Mono",3,1,20662,614.040561622465,27,"Image4.PNG",0
"221",98,4449574,"Mono",2,1,10396.2999997139,471,91,"Image4.PNG",1
"222",106,4424285,"Mono",1,1,9833,476,90,"Image4.PNG",1
"223",116,4404605,"Mono",2,1,6084.30000000005,491,95,"Image4.PNG",1
"224",128,4381159,"Mono",2,1,7014.94500006083,486,93,"Image4.PNG",1
"225",136,4373538,"Mono",2,1,3615.70000004768,476,87,"Image4.PNG",1
"226",146,4336342,"Mono",2,1,1559,486,83,"Image4.PNG",1
"227",156,4333147,"Mono",3,1,9379,482,88,"Image4.PNG",1
"228",164,4450348,"Mono",4,1,3804.90000009537,501,88,"Image4.PNG",1
"229",175,4334877,"Mono",3,1,14839.8999999762,468,96,"Image4.PNG",1
"230",184,4392148,"Mono",2,1,3071.59999999404,477,89,"Image4.PNG",1
"231",195,4447985,"Mono",1,1,42361.1000001431,470.735524256651,87,"Image4.PNG",1
"232",202,4449420,"Mono",1,1,4706,498,83,"Image4.PNG",1
"233",213,4450899,"Mono",4,1,12067.3999998569,481,89,"Image4.PNG",1
"234",220,4452506,"Mono",2,1,50171,480,89,"Image4.PNG",1
"235",229,4449369,"Mono",4,1,58347.2000000477,480,87,"Image4.PNG",1
"236",234,4449101,"Mono",3,1,2173,488,93,"Image4.PNG",1
"237",241,4445309,"Mono",2,1,35171.3999999762,463,85,"Image4.PNG",1
"238",246,4429865,"Mono",1,1,2701.52000011876,479,90,"Image4.PNG",1
"239",260,4408537,"Mono",3,1,16406.2999999523,486,84,"Image4.PNG",1
"240",273,4379880,"Mono",4,1,2638,479,89,"Image4.PNG",1
"241",281,4372219,"Mono",2,1,4749,485,86,"Image4.PNG",1
"242",292,4354253,"Mono",1,1,6186.69999999925,481,90,"Image4.PNG",1
"243",303,4336146,"Mono",1,1,1225.20000000298,476,95,"Image4.PNG",1
"244",317,4333569,"Mono",3,1,10485,484,96,"Image4.PNG",1
"245",326,4332728,"Mono",1,1,4080,481,90,"Image4.PNG",1
"246",338,4333147,"Binoc",1,1,6431.90000009537,483,87,"Image4.PNG",1
"247",348,4333590,"Binoc",2,1,15186.6000000001,485,86.6914893617021,"Image4.PNG",1
"248",359,4334401,"Binoc",2,1,6009.59999990463,481,93,"Image4.PNG",1
"249",372,4336342,"Binoc",2,1,1415,482,93,"Image4.PNG",1
"250",383,4339358,"Binoc",1,1,10129.2000000477,489,93,"Image4.PNG",1
"251",394,4373538,"Binoc",2,1,4960.10000002384,475,90,"Image4.PNG",1
"252",404,4381159,"Binoc",1,1,6187.86499998532,483,87,"Image4.PNG",1
"253",414,4384320,"Binoc",1,1,4041.89999997616,503,90,"Image4.PNG",1
"254",425,4404605,"Binoc",1,1,4380.39999999991,463,93,"Image4.PNG",1
"255",439,4424285,"Binoc",3,1,6759.30000001192,458,95,"Image4.PNG",1
"256",451,4443776,"Binoc",3,1,3975.30000019073,496,84,"Image4.PNG",1
"257",461,4448050,"Binoc",2,1,2339,465,84,"Image4.PNG",1
"258",470,4449137,"Binoc",1,1,1772.70000004768,483,88,"Image4.PNG",1
"259",481,4449574,"Binoc",2,1,4795.19999980927,472,90,"Image4.PNG",1
"260",494,4449717,"Binoc",4,1,14742.8999999911,481,91,"Image4.PNG",1
"261",500,4450348,"Binoc",2,1,4383.09999990463,484,96,"Image4.PNG",1
"262",511,4452039,"Binoc",1,1,4587.80000000028,471,88,"Image4.PNG",1
"263",524,4454520,"Binoc",4,1,15124.0999999996,488.237129485179,93,"Image4.PNG",1
"264",533,4332728,"Binoc",4,1,3647,484,93,"Image4.PNG",1
"265",541,4336146,"Binoc",1,1,1821.59999999404,461,89,"Image4.PNG",1
"266",554,4372219,"Binoc",2,1,1640.60000000149,480,92,"Image4.PNG",1
"267",565,4379880,"Binoc",3,1,12693,423,76,"Image4.PNG",0
"268",576,4392148,"Binoc",4,1,6498.09999999404,477,96,"Image4.PNG",1
"269",585,4445309,"Binoc",1,1,6082.70000004768,484,89,"Image4.PNG",1
"270",595,4447985,"Binoc",2,1,5782,465.727699530516,92,"Image4.PNG",1
"271",603,4449101,"Binoc",3,1,26808.7000000179,481,92,"Image4.PNG",1
"272",611,4449369,"Binoc",4,1,5111.79999995232,477,93,"Image4.PNG",1
"273",617,4449420,"Binoc",1,1,27491.7000000179,485,86,"Image4.PNG",1
"274",625,4452506,"Binoc",2,1,2798,476,89,"Image4.PNG",1
"275",633,4450899,"Binoc",4,1,15643.1999998093,487,91,"Image4.PNG",1
"276",645,4429865,"Binoc",4,1,3281.66499966756,481,97,"Image4.PNG",1
"277",655,4408537,"Binoc",2,1,8286.40000009537,476,91,"Image4.PNG",1
"278",667,4354253,"Binoc",4,1,1507.79999999888,483,87,"Image4.PNG",1
"279",674,4334877,"Binoc",1,1,6229.80000007153,473,89,"Image4.PNG",1
"280",689,4333569,"Binoc",4,1,9787.5,486,87,"Image4.PNG",1
"281",5,4333590,"Mono",1,1,2102.30000000005,98,172,"Image5_three.PNG",1
"282",6,4333590,"Mono",1,2,5734.69999999995,358,32,"Image5_three.PNG",1
"283",7,4333590,"Mono",1,3,6925.30000000005,415,159,"Image5_three.PNG",1
"284",18,4334401,"Mono",2,1,2972.5,357,31,"Image5_three.PNG",1
"285",19,4334401,"Mono",2,2,6092.90000009537,99,172,"Image5_three.PNG",1
"286",24,4339358,"Mono",1,1,3478.59999996424,100,169,"Image5_three.PNG",1
"287",25,4339358,"Mono",1,2,8416.19999998808,349,27,"Image5_three.PNG",1
"288",37,4384320,"Mono",2,1,2089.39999997616,112,169,"Image5_three.PNG",1
"289",38,4384320,"Mono",2,2,7999.29999995232,353,32,"Image5_three.PNG",1
"290",39,4384320,"Mono",2,3,9219.5,421,154,"Image5_three.PNG",1
"291",44,4443776,"Mono",1,1,3668.59999990463,110,171,"Image5_three.PNG",1
"292",45,4443776,"Mono",1,2,5602.40000009537,420,151,"Image5_three.PNG",1
"293",55,4448050,"Mono",1,1,4021,413,151,"Image5_three.PNG",1
"294",65,4449137,"Mono",2,1,2822.69999980927,98,170,"Image5_three.PNG",1
"295",66,4449137,"Mono",2,2,9554.79999995232,367,30,"Image5_three.PNG",1
"296",71,4449717,"Mono",1,1,4377.5,99,170,"Image5_three.PNG",1
"297",72,4449717,"Mono",1,2,7082.09999999404,413,149,"Image5_three.PNG",1
"298",73,4449717,"Mono",1,3,8916.90000000596,354,35,"Image5_three.PNG",1
"299",82,4452039,"Mono",1,1,5019.69999999995,342,27,"Image5_three.PNG",1
"300",83,4452039,"Mono",1,2,6769.69999999995,422,147,"Image5_three.PNG",1
"301",92,4454520,"Mono",1,1,4337.40000000037,104.796511627907,172,"Image5_three.PNG",1
"302",93,4454520,"Mono",1,2,9179,345.329457364341,29,"Image5_three.PNG",1
"303",104,4449574,"Mono",2,1,4526.7999997139,360,29,"Image5_three.PNG",1
"304",105,4449574,"Mono",2,2,7882.2999997139,413,151,"Image5_three.PNG",1
"305",113,4424285,"Mono",2,1,5064,426,151,"Image5_three.PNG",1
"306",114,4424285,"Mono",2,2,7481.5,103,173,"Image5_three.PNG",1
"307",119,4404605,"Mono",1,1,1796,419,155,"Image5_three.PNG",1
"308",120,4404605,"Mono",1,2,4357.19999999972,95,174,"Image5_three.PNG",1
"309",121,4404605,"Mono",1,3,5798.09999999963,338,26,"Image5_three.PNG",1
"310",134,4381159,"Mono",2,1,3860.03000009805,91,166,"Image5_three.PNG",1
"311",139,4373538,"Mono",1,1,1963.89999997616,105,168,"Image5_three.PNG",1
"312",140,4373538,"Mono",1,2,4213.30000001192,425,148,"Image5_three.PNG",1
"313",152,4336342,"Mono",2,1,2994,111,168,"Image5_three.PNG",1
"314",153,4336342,"Mono",2,2,8271.99999999999,353,29,"Image5_three.PNG",1
"315",160,4333147,"Mono",2,1,5849.89999985695,416,151,"Image5_three.PNG",1
"316",165,4450348,"Mono",1,1,2565.90000009537,351,30,"Image5_three.PNG",1
"317",166,4450348,"Mono",1,2,4192.20000004768,420,148,"Image5_three.PNG",1
"318",167,4450348,"Mono",1,3,7893.5,115,172,"Image5_three.PNG",1
"319",177,4334877,"Mono",1,1,5999.10000002384,361,30,"Image5_three.PNG",1
"320",178,4334877,"Mono",1,2,7382.60000002384,428,148,"Image5_three.PNG",1
"321",187,4392148,"Mono",1,1,1549.80000001192,356,34,"Image5_three.PNG",1
"322",188,4392148,"Mono",1,2,3622.5,414,155,"Image5_three.PNG",1
"323",189,4392148,"Mono",1,3,7119.59999999404,102,179,"Image5_three.PNG",1
"324",201,4447985,"Mono",2,1,3714.30000019073,413.803501945525,145,"Image5_three.PNG",1
"325",206,4449420,"Mono",1,1,3743.90000000596,359.698443579767,32.1441441441441,"Image5_three.PNG",1
"326",207,4449420,"Mono",1,2,6771.30000001192,98.1906614785992,174.783783783784,"Image5_three.PNG",1
"327",214,4450899,"Mono",1,1,1717.10000014305,344,31,"Image5_three.PNG",1
"328",215,4450899,"Mono",1,2,6459,422,154,"Image5_three.PNG",1
"329",216,4450899,"Mono",1,3,8520.90000009537,98,169,"Image5_three.PNG",1
"330",225,4452506,"Mono",2,1,6549.00000000001,98,171,"Image5_three.PNG",1
"331",231,4449369,"Mono",2,1,4021.80000019073,415,148,"Image5_three.PNG",1
"332",236,4449101,"Mono",1,1,5457.59999999404,109.212062256809,172.774774774775,"Image5_three.PNG",1
"333",244,4445309,"Mono",1,1,6184.09999990463,424,147,"Image5_three.PNG",1
"334",250,4429865,"Mono",1,1,1801.95999983698,93,175,"Image5_three.PNG",1
"335",251,4429865,"Mono",1,2,3433.6000001058,421,151,"Image5_three.PNG",1
"336",252,4429865,"Mono",1,3,5228.31499995664,372,31,"Image5_three.PNG",1
